	Id	friends
0	NoticeRipsir	['johncicciojr', 'INF_eSports_', 'Possify', 'ayarbrough_14', 'EvolvedTourneys', 'MGGeSports', 'denson_sam', 'Kixlos', 'Rezist_Cyanide', 'Xylork', 'starfwd3', 'CriticDaDon', 'jollyfx', 'ReeZist1', 'NVOnePunchPanda', 'Vandiekins22', 'ThePegiGames', 'RippedRobby', 'StatiicMods', 'SolarMods', '_itsYoki_', 'Pamaj', 'fouseyTUBE', 'okidsteezzy', 'YouTube', 'LeafyIsHere', 'danawhite', 'zoieburgher', 'NotedY0', 'sssniperwolf', 'NimbusI6', 'pewdiepie', 'DANGER_Caged', 'mrbriankendrick', 'WWEDanielBryan', 'HEELZiggler', 'WWE', 'RandyOrton', 'AlexaBliss_WWE', 'OpTicGaming', 'Xbox', 'yaboiicodyyy', 'OMGitsAliA', 'MsDaywrecker', 'PokemonGoApp', 'leanna_decker', 'Craank', 'RedFamefuI', 'Kronniixxx', 'ezam', 'SolarCyber', 'DimesOnIy', 'SmileMoreStore', 'VelVelHoller', 'RedDimzy', 'BravoPrior', 'Fatal_Ambition', 'BillyDanyell', 'SoaRHeptic', 'Trizeh', 'EllisTweets', 'RedKiwiz', 'Red_Randumb', 'Red_Formula', 'RedReserve', 'realDonaldTrump', 'BellaTwins', 'RealPaigeWWE', 'adriannalemuss', 'ashleydougan', 'Ms_HeartAttack', 'AlexaBlissNXT_', 'bluntstobullets', 'JayFlowFishman', 'charlieINTEL', 'howtoredneck', 'FuriousPete', '100Thieves', 'Mista_Nightmare', 'Rivers_Wake', 'EthanLovejoy', 'morgiee_19', 'Boney_Te', 'JB_Wizz', 'ChloeGMoretz', 'leahhensley_', 'joexwild', 'FaZeApex', 'CaptnHowdy31', 'Oh_Its_Jinx', 'Voltage_Te', 'GiveBackFilms', 'McJuggerNuggets', 'OpTic_MBoZe', 'CinchGaming', 'XboxSupport', 'TheRealPsanders', 'ijustine', 'Bobby_Badasss', 'VolaJane', '_xwildflowerx', 'GameBattles', 'LimitlessEXP', 'EpicFiveTV', 'Activision', 'XBLBakersWorld', 'Treyarch', 'CallofDuty', 'kenzliee', 'WVJails', 'TeeCLUCK', 'BakersWorldFan', 'morales_cisco', 'UMGOnline', 'MLG', 'RyeFPS', 'CommGamers_BKG', 'triple_owwgee', 'FaZe_Censor', 'NoticeChaos', '_little_britt_', 'RomanAtwood', 'OpTic_Crimsix', 'Quantum_Siloid', 'KEEMSTAR', 'IRoaRster', 'ArianaBieber_x3', 'biebersdallasx', '_MisTrix', 'Vitalyzdtv', 'overboardhumor', 'InfinityWard', 'CoD_RTs', 'ShawnAbner', 'MLGCoco', 'Fariko', 'PHiZZURP', 'OpTic_Scumper', 'optich3cz', 'Nadeshot', 'ATVIAssist', 'AstridsaurusRex']
1	jdbrumfield304	['exxonmobil', 'BBCBreaking', 'cnnbrk', 'StephenAtHome', 'TheDailyShow', 'SethMacFarlane', 'elizabethforma', 'HardballChris', 'jimmykimmel', 'sethmeyers', 'TheEllenShow', 'jimmyfallon', 'FallonTonight', 'CollegeGameDay', 'SenCapito', 'WVnoelle', 'ClimateReality', 'LukeWeldonMart1', 'TimMileyWV', 'MLGALTA1R', 'GovTomblin', 'wvlegislature', 'wvhouse', 'wvsenate', 'WVYoungDems', 'andersoncooper', 'FLOTUS', 'EricHar09879121', 'abcpeds', 'BillNye', 'neiltyson', 'BarackObama', 'Snowden', 'pushkinforhouse', 'PhilKabler', 'TeacherWarrior', 'DannyMcBride_', 'MotherJones', 'Justiceforwv', 'MsEstep', 'davidaxelrod', 'S_DubU11', 'dakota_smith96', 'hillbillyfairy', 'AndrewByrdWV', 'DelegateHorn', 'dougreynolds16', 'Holgorsendana', 'HoppyKercheval', 'TonyCaridi', 'CoachHuggs', 'CatuliRock', 'radiofinn', 'ReganWV', 'billmaher', 'WVPolRevolution', 'BodieKiser', 'CBelmontKeeney', 'boothgoodwin', 'TheDemocrats', 'NLawson815', 'SenWarren', 'SenSanders', 'BernieSanders', 'HillaryClinton', 'billclinton', 'POTUS', 'MichelleObama', 'realDonaldTrump', 'RobertOldaker', 'hayslambert41', 'shull_r', 'lchspride', 'LCHS_Baseball', 'calebsalmons', 'colt_parsons', 'jillsnyder92', 'colesnyder96', 'thordaddy61', 'krah10', 'vangel1970', 'BTudor20', 'WaldronDean', 'SamuelsMama', 'JoeyGarciaWV', 'Good_One_Scott', 'e4c0259478584d2', 'HoldensRest', 'EplingKelli', 'jbrowning21461', 'Irv_johnson', 'davidawebb1952', 'NCAAref23', 'RefPac', 'BPMomofThree', 'ScarCourt', 'dabber0223', 'luckyjen13uk', 'lchoops', 'JeffKesslerWV', 'Gene_912', 'ZaCooper082', 'TBrowning1', 'lucas_ashworth', 'radamlinville', 'JMikeMcCormick', 'WVhoopsdad', 'norene_gallion', 'McgheeZack', 'alucas1321', 'TLAF_oRDiE', 'x_DougyFresh_x', 'defineDAbest', 'KenitaWright', 'lcpanthers4', 'IzDawn', 'JLu_2strong', 'CourtneyRay93', 'shaybethh_owens', 'jacobashworth35', 'epnorman_ox', 'Chalseyy_A', 'wvdemocrats', 'WVAHC', 'NickCaseyforWV', 'NatalieforWV', 'NatalieTennant', 'wvpols', 'GregAshworth1', 'kayla_breanne21', 'jeffrey_s_bowen', 'Josh_Stowers', 'LCBand_Rocks', 'Sen_JoeManchin', 'WSAZnews', 'zacinurmouth7', 'wvgazettemail', 'tabbiecat77', 'Dmac35Donovan', 'SeanPODonoghue', 'LincolnJournal', 'Stowers_Amy', 'NPRextra', 'facebook']
2	lennysundahl	['NerdGarbageBot', 'Brexitannia2017', 'artstristate', 'Gro_Huntington', 'thinkpiecebot', 'ActionGroupNet', 'WendyMcMahon7', 'KMPerdue', 'WVcardinalTrain', 'TRUMPFERNO', 'MattAltobello', 'ravenscroft7', 'tornadogoldenfb', 'verapage57', 'championshockey', 'manypenny2016', 'wvssac', 'CoachBiserKHS', 'TheMime', 'joebrowdtv', 'robreiner', 'paigelav', 'SAShrader', 'kurteichenwald', 'jaketapper', 'JoyAnnReid', 'OldHossRadbourn', 'JoeSondow', 'SchmitzMedia', 'WVTelegram', 'LeVostreGC', 'Kasparov63', 'HerdFansINFO', 'CletusDroo', 'CharlesHansen', 'theirishrev', 'ntn_tms', 'EricBandRakim', 'RodSnyderWV', 'VancityReynolds', 'JoeyBats19', 'bradheltzTWV', 'SMcNamaraTWV', 'chadlovejoy', 'LocutusTips', 'RikerGoogling', 'SirPatStew', 'IceBusiness', 'BarbaraHighMDNT', 'JamesKyson', 'OLearySW', 'PicardTips', 'davidmaraniss', 'SenCarlLevin', 'WorfEmail', 'ViewpointWV', 'ClownMenace', 'specutainment', 'chaseboog1e', 'BenSuttonISP', 'kai_newkirk', 'ourprogressives', 'DthomasGallery', 'gwyoungdems', 'KinShipGoods', 'pressclubwv', 'wleebrown', 'mindykaling', 'TheMindyProject', 'aemcgill05', 'Explosm', 'serjtankian', 'OurRevolution', 'Olgas_Kitchen', 'SundahlArtRoom', 'JoeStrummerSaid', 'wvirginiafree', 'jacknjellify', 'leadership_wv', 'Adar79Angie', 'HamiltonCapTel', 'lennyletter', 'bulldogclassic', 'Psc_SSection', 'Detch2016', 'BobWise48', 'berniethoughts', 'alyssabereznak', 'LOLDonaldTrump', 'RWTQuotes', 'JMorganLeach4WV', 'radiofinn', 'tomtomorrow', 'LA2024', 'iJesseWilliams', 'delegateskinner', 'WVUFLU', 'StrongBadActual', 'davidlgutman', 'DelegateBarbara', 'literally_trump', 'openelex', 'PghVintageGP', 'TheGreatAlbums', 'A2026Official', 'ZekeJMiller', 'mcimaps', 'SusanMileyWV', 'BettyBenderWV', 'Britpoptarts', 'andendall', 'MBMBaM', '_chaseh_', 'MayorTatum', 'IanNolte', 'mostexalted', 'wvhemp', 'woltersradio', 'NihilistDQ', 'nihilist_arbys', 'Lin_Manuel', 'travismcelroy', 'JustinMcElroy', 'griffinmcelroy', 'SheckWV', 'LlysseWylle', 'MarshalluPres', 'wvfilmguild', 'WVFILMmakerFest', 'DavidSmith1046', 'Kablonker', 'DaniellosPizza', 'smod2016', 'sportingintel', 'KuperSimon', 'SenSanders', 'KngHnryVIII', 'zkgillispie', 'DelHIERO', 'WojVerticalNBA', 'GovTomblin', 'assadzandiwv', 'john_walsh', 'Riff2Detroit', 'IndependenceDay', 'kayjayaitch', 'MurrayNewlands', 'ForecasterEnten', 'TalleySergent', 'coolestmayor', 'DocInRealLife', 'TheFulmerCup', 'PEORIAProject', 'RealClearSports', 'KrafftWV', 'ESQPolitics', 'PpollingNumbers', 'DungeonsDonald', 'MST3KInfo', 'MaryJoPehl', 'OrgSixAnalytics', 'pollreport', 'pollster', 'iAmhuntington', 'pollsterpolls', 'weheartwv', 'springer', 'SCrichlow', 'MoorefieldEx', 'GrantCoPress', 'AskDrRuth', 'NeverTrumpPAC', 'Svengoolie', 'Keadle4WV2016', 'Indymemories', 'maryannclaytor', 'uselectionatlas', 'thecomeback', 'wvhouse', 'PerryB_Photo', 'benchmarkpol', 'MESWV', 'Dark_Childhood', 'WVBotanist', 'wvgazettemail', 'KellyAuCoin77', 'JeffCourtney99', 'CompassionWv', 'RadicalRayyy', 'wvpublicnews', 'wvpublic', 'WVU4Cannabis', 'wobbywk', 'F1', 'bernie_chat', 'World4Sanders', 'washingtonpost', 'MRHS_Fastpitch', 'prattprattpratt', 'knitrunrepeat']
3	satesq	['matthewjdowd', 'dbc5361', 'AuGoldfinger', 'OfficeGovEthics', 'VandyRadio', 'DerekMasonsVest', 'AnitaRCasey', 'AVanceAARP', 'AndyArbogast', 'AndyEvie2', 'AmmedSolomon', 'MsGroovyWV', 'tporter6', 'BellLawFirmWV', 'WCarterOnWealth', 'bwhite_brad', 'ACLU', 'DavidPerlmutter', 'mccarthyryanj', 'EWErickson', 'MTNGameday', 'TimAlberta', 'tribelaw', 'DecisionDeskHQ', 'CFBPlayoff', 'VP', 'davidaxelrod', 'KenBurns', 'DorisKGoodwin', 'BeschlossDC', 'clayphillips27', 'MJGerson', 'postpolitics', 'WhiteHouse', 'wikileaks', 'mindyfinn', 'TeamMcMullin', 'Evan_McMullin', 'AriMelber', 'Fahrenthold', 'CoachAdamsWVU', 'JBradEdwards', 'Bhooverhalll', 'amandabarren', 'si_ncaafb', 'jasoncherkis', '33strategieswar', 'ransomedheart', 'nprpolitics', 'jaynordlinger', 'LizMair', 'DavidAFrench', 'weeklystandard', 'NRO', 'JonahNRO', 'krauthammer', 'GeorgeWill', 'BillKristol', 'TaxPolicyCenter', 'VICE', 'voxdotcom', 'CrossFitNE', 'JohnKasich', 'AmericanXRoads', 'TIME', 'BBCWorld', 'CNN', 'ABC', 'realDonaldTrump', '48tweetsofpower', 'CordellLaw', 'masteryquotes', 'neilstrauss', 'RobertGreene', 'KaleaWCHS', 'FINRAArbitrator', 'SteveMallory51', 'David_Boaz', 'libertarianism', 'dadsdivorce', 'CharlestonHSEM', 'CharlestonPDWV', 'Caykers', 'CoachMCScott', 'dailystoic', 'cammipham', 'chatcat67', 'cathy_zeewy', 'RichardRohrOFM', 'CoachJDiebler', 'ShaunaJWV', 'realrobbell', 'PredictWise', 'ianbremmer', 'CoachQVU', 'noonanjo', 'MikeBloomberg', 'ZacEllisVU', 'GovBillWeld', 'the_ironsheik', 'StephensWSJ', 'tonyschwartz', 'paulkrugman', 'maureendowd', 'jamestaranto', 'davidfrum', 'michaelcrowley', 'EndTwoPartyRule', 'WVcourts', 'JacobsLawOffice', 'IngramCommons', 'BR_Commodores', 'vandybuzztap', 'sennsm', 'vandyvideo', 'Ken_Silverstein', 'costareports', 'radiofinn', 'JessicaYLilly', 'davemistich', 'wvpublic', 'meljoulwan', 'CookingCaveman', 'PrimalPalate', 'nomnompaleo', 'whole30', 'jaltucher', 'RyanHoliday', 'PooleCain', 'donielle_22', 'radleybalko', 'intlspectator', 'BuzzFeedNews', 'PpollingNumbers', 'SpeakerRyan', 'BobsBurgersFOX', 'jharkins67', 'BradPaisley', 'EpiscopalRelief', 'RepMcKinley', 'RepEvanJenkins', 'TGossMiller', 'Anagram2112', 'CoachMorita', 'JeffGenyk', 'CoachOsia', 'Coach_Ludwig', 'GerryGdowski', 'CFBCCalhoun', 'theyoungcoach', 'jacob_free', 'igorvolsky', 'TMZ', 'RussKing16', 'StephanieWhite', 'CAROLYNPECK', 'reason', 'LPNational', 'WVUBaseball', 'wmattwells', 'VANDYMENSGOLF', 'Shazam', 'VandyWBB', 'RobByersWV', 'SenCarmichaelWV', 'AmeriCorpsNCCC', 'ServiceYear', 'TheWeek', 'StanMcChrystal', 'AmeriCorpsVISTA', 'AmeriCorps', 'FranklinProj', 'accuweather', 'breakingweather', 'MyRadarWX', 'johnadams_news', 'johnnieO', 'corysimpsonwv', 'AmandaMazey', 'GovGaryJohnson', 'goldnuggets624', 'taheywood', 'WalkingDead_AMC', 'FrEdwinLeahy', 'MarketWatch', 'DJROUSH3', 'SenateMajLdr', 'POTUS', 'SCOTUSnom', 'willwadevcu', 'LandRoverUSA', 'garyvee', 'ThiemannRodney', 'GLOCKInc', 'RemingtonArms', 'TeamJohnKasich', 'PolitiFact', 'CSpealler', 'MittRomney', 'Julie_Foucher']
4	TallamyBrian	['LeslieRubinWCHS', 'KennieBassWCHS', 'BrittPettibone', 'real_sessions', 'BreitbartNews', 'SebGorka', 'amandacarpenter', 'ainsleyearhardt', 'RudyGiuliani', 'GarySinise', 'thefiftees', 'scroggstl', 'mitchellvii', 'TeamTrump', 'DanScavino', 'GenFlynn', 'Trump', 'FrancesFrancine', 'KellyannePolls', 'Nigel_Farage', 'DavidShaunBurke', 'MicheleBachmann', 'FAIRImmigration', 'GovPenceIN', 'mike_pence', 'pastormarkburns', 'DailyVotingPoll', 'DineshDSouza', 'MyFaithVotes', 'MrpooHelspy', 'brithume', 'TeamCavuto', 'JedediahBila', 'DiamondandSilk', 'KatiePavlich', 'GovChristie', 'RonPaul', 'KatrinaPierson', 'theresponseusa', 'GretchenCarlson', 'letyduranhdez', 'RealJamesWoods', 'GypsyRider2015', 'awroark', 'letquotescomedy', 'SheriffClarke', 'Lauren011965', 'ranger_Newt', 'RenewalAction', 'JohnLegere', 'andersonDrLJA', 'DebtAssassin1', 'Callisto1947', 'Trump4Hope', 'LindaSuhler', 'JohnFromCranber', 'kathlena1', 'Resonate537', 'StocksAlot29', 'hotpink100', 'MikeWhitaker', 'Orrin_Woodward', 'NatShupe', 'debra_bonanno', 'AnneBayefsky', 'KamVTV', 'DishHubClub', 'RealRomaDowney', 'MyBusinessGram', 'SquiresTim', 'JohnsonLindaS', 'rantress', 'MELANIATRUMP', 'IvankaTrump', 'DonaldJTrumpJr', 'EricTrump', 'ArianaMagana1', 'acd21', 'RealClearIndie', 'TonyaNee', 'marthamaccallum', 'reaganthrasher', 'SpecialReport', 'MichaelPalmacci', 'TuckerCarlson', 'foxnewspolitics', 'SteveDoocy', 'FoxNews', 'FoxNewsSunday', 'RandPaul', 'imavape', 'kilmeade', 'RealBenCarson', 'FA_Marshall', 'Franklin_Graham', 'marieosmond', 'newtgingrich', 'SarahPalinUSA', 'THEHermanCain', 'michellemalkin', 'rachaeltallamy', 'AnnCoulter', 'AllenWest', 'JudgeJeanine', 'foxnation', 'BretBaier', 'IngrahamAngle', 'BillHemmer', 'MariaBartiromo', 'mkhammer', 'jessebwatters', 'GovMikeHuckabee', 'LouDobbs', 'TheFive', 'Judgenap', 'MonicaCrowley', 'foxandfriends', 'ericbolling', 'AndreaTantaros', 'kimguilfoyle', 'DanaPerino', 'oreillyfactor', 'seanhannity', 'greta', 'realDonaldTrump']
