	Id	friends
0	diypotus	['LarryMadowo', 'RobertAlai', 'FreeSoccerBall', 'bonifacemwangi', 'chuckghutch', 'C_NyaKundiH', 'HerSocialApp', 'MichelleObama', 'tsahay', 'iamstillwithher', 'xtiandela', 'DT_Les', 'ryannminajj', 'SunflowerSoul71', 'Janibal7Jose', 'bfraser747', 'YamelFeliz', 'hatton_lucas', 'deivfernandez01', 'VictorSCollado', 'elyassywise', 'zesty_bernie', 'DavidTheroux', 'zesty_hillary', 'WarrenWhitlock', 'bengleib', 'zesty_obama', 'ben_mckenzie', 'clarefoley_', 'mister_CMS', 'robinlordtaylor', 'Spruke', 'colortheory', 'benlandis', 'MorissaSchwartz', 'RyanJoelFreeman', 'PhilipKidson', 'LungsaniNxumalo', 'UFCW', 'IsobelWB', 'SEIU', 'AFLCIO', 'RichardTrumka', 'wessigk', 'GuyKawasaki', 'MarketingProfs', 'miguelwarden', 'jaybaer', 'Relatable_Ange', 'GlendysMendez_', 'MariSmith', 'bpclaimsatty', 'seosmarty', 'kristihines', 'GrowMap', 'Constitution89', 'PayamZamani', 'En_Coro_18', 'AttigraWebsites', 'InfoClutchData', 'Law1777', 'NicoSantucci', 'Phonytable8', 'GavinNewsom', 'GatheringNew', 'MAGARIXCOUTURE', 'CattyKrypton', 'JerryBrownGov', 'AnneBayefsky', 'OEDstreetteam', 'largoteitan', 'Stanley4Prez', 'softcat', 'KylieDouthart', 'HexagonVisions', 'Mimecast', 'Jessy_R05', 'ZaraBasiri', 'iBorii', 'AdSuperstars', 'SteveArnold5', 'mitchellvii', 'AndersonNatalie', 'Lina_Loop', 'LindaSuhler', 'MrMattWolfenden', 'Darren32895836', 'MissCharleyWebb', 'tomlister', 'StepUpYour_Biz', 'lucyparge', 'dominicbrunt', '456_ginji', 'MarkCharnock_', 'DannyBMiller', 'LoveOfMyLifeDoc', 'kelvin_fletcher', 'thelifessential', 'QANJS', 'adamthomas21', 'J_C_P_', 'kurtisstaceyKS', 'IAmLerumo', 'Luiz_Villalona', 'epandor', 'Technologiestas', 'RoomtoReadTZ', 'EliasPz', 'DoeJacqueline', 'Henrys_KM', 'LuiisDaniel21', 'Alvi23', '_Dume', 'LykanEgk', 'enterrenojuego', 'a33477970', 'justajoint', 'RolandoMz', 'laurawilsonjasp', 'Babe_Brito13', 'JuniorSG_', 'ImranHSarker', 'marielitah92', 'Nevermiles', 'JohnRFer', 'JoseR_DiazB', 'ChelitaBi2', 'JeffersonPenalo', 'Josechino15', 'jestrella04', 'EcoPetroleoDom', 'ramiritocp', 'ShamilaZ', 'STIUAL', 'aindriya12', 'OneEyedDoll', 'SkySportsNewsHQ', 'federalreserve', 'Kimberly_OED', 'juniorvargas115', 'BBCSport', 'OECD', 'ecb', 'Lagarde', 'KelvinGarciaDom', 'fernandeza01', 'IMFNews', 'Junior2Martinez', 'squirrel74wkgn', 'WorldBank', 'AridioAdon', 'poketote', 'Refugees', 'SoloLads', 'osiriscid24', 'UNDP', 'WFP', 'YoungArchitxPDX', 'WaldenU', 'WhatTheFlux', 'UNICEF', 'csalehian', 'KeganKnew', 'PeaceDay', 'UN', 'jstorres', 'DemiNewell', 'TheSocialMs', 'socialwebcafe', 'Stonewall_77', 'sslubliner', 'LinkedSupply', 'El_Camionero_01', 'Mafias_Nation', 'Latoyagarcia11', 'MrKeithMahon', 'Dedicated210', 'IAMASuccesss', 'bagiowhite', 'atcbandlive', 'sykleb27', 'Thetaste_ie', 'localinpanama', 'zesty_leftwing', 'zesty_politics', 'amape28', 'rosamarte12', 'ialeads1', 'zesty_rightwing', 'IainBF', 'Nanahernandez81', 'iEARNPAK', 'iEARNUSA', 'CampaignOnThis', 'girlsreallyrule', 'zesty_trump', 'randydeutsch', 'gazete_man', 'bobborson', 'wjmarchitect']
1	NewPOTUS2017	['BobSpanglepants', 'PotatoesCharlie', 'CtrlSecCW', 'mrsverycross', 'DaveOfLeeds11', 'NostradamusMic2', 'bahaiinspired1', 'jezebill', 'D_HairyLemon', 'Samtippinssam', 'WipeHomophobia', 'Tennal72Lucy', 'EthicsGradient1', 'Fifthcolumnblue', 'SocialistVoice', 'TheBHTruth', 'patriotoctopus', 'SpiritualChris1', 'news_24hrs', 'TheUKSaint', 'positiveislam11', 'FashJudge', 'Ctrlsec_FR', 'TheNewJester_', 'worldnature_1', 'Fash_Exposure1', 'The_Only_Ewok', 'EuroFox_2', 'DemocratWiseOwl', 'CMoondust', 'PoundShopOrwell', 'Apocalypse_End', 'Amandalangdale2', 'DozersHome', 'ResistingHate', 'spellgeorge', 'MP_Lies', 'SuspendedMonkey', 'BeaumontBee', 'The_Fash_Hunter', 'SikhismToday11', 'USofFail1', 'Anti_hate_1', 'pretty_stace304', '37_dolan', 'BorisBond007', 'tweebot4', 'SmexySoul666', 'rockhyrax', 'Antifa_GB_1', 'BluehandHarold', 'SeaHorse_x', 'CheekyMonkFish', 'halalkitty2', 'oldwolf1887']
2	RT_America	['UR_Ninja', 'ringoffireradio', 'KelTheQueen', 'nsodonovan', 'virginianpilot', 'samfbiddle', 'misstoiletslave', 'feraljokes', 'JamesHesky', 'MrMikeBlake', 'PtakJokes', 'samlymatters', 'OnionPolitics', 'nataliesurely', 'AkilahObviously', 'Lesdoggg', 'CLEpolice', 'Irakly_RT', 'TrinityfChavez', 'DaRealAmberRose', 'NancyGrace', 'comicbam', 'RT_Doc', 'ProfChris', 'Snowden', 'sirchrisdaniels', 'rtsportnews', 'Nick_Hankoff', 'gsanroman2', 'AlexR_DC', 'EmbassyCat', 'PeterGOliver_RT', 'silkyjumbo', 'JakeHead_', 'RebMyles', 'Metrorailinfo', 'briciosegovia', 'bsegovia_RT', 'CassandraRules', 'naomikaravani', 'RT_PressOffice_', 'ReemaAH_RT', 'NicoSanRT', 'LizziePhelan', 'megangailey', 'MrWillMiles', 'KennyDeForest', 'GregStone_', 'DSGermain', 'AnthonyDeVito_', 'seanytime', 'AmberSmelson', 'theWALKOWSKI', 'JonoZalay', 'NoWayneInHell', 'elrojoperez', 'PeggyOLeary', 'whodougsmith', 'SokolAdam', 'Brad2Sexy', 'iamryanbeck', 'natefridson', 'winnerwill', 'caseyJsalengo', 'desusnice', 'farahbrook', 'vontrapplord', 'cevichepapi', 'jordanmammo', 'calebmaupin', 'rt_play', 'AshleeBanks_RT', 'real_alexm', 'NewswithEd', 'kurtagardinier', 'RT_russian', 'IvorCrotty', 'NebojsaMalic', 'SamirShakhbaz', 'BiancaFacchinei', 'telesurenglish', 'NSA_PR', 'DCPoliceDept', 'fischerkatie', 'JasonLeopold', 'docjorich', 'harrybelafonte', 'nelufar', 'IndyUSA', 'NASANewHorizons', 'NASAGoddard', 'Gayane_RT', 'MFinoshina_RT', 'POTUS', 'SimoneReports', 'isbalcio', 'cannonsmith', 'AP_Planner', 'lmichalch', 'MnarMuh', 'CNN', 'pdxrisingtide', 'emptywheel', 'lhfang', 'AnissaNow', 'KerrNewsNow', 'AnjKhem', 'MintPressNews', '_abenedicto', 'Polly_evro', 'LorenadlaCuesta', 'miguelmarquez', 'gregjeske', 'M_Simonyan_EN', 'PaulaSlier_RT', 'RTenfrancais', 'Brigida__Santos', 'FRANCE24', 'AFP', 'AJENews', 'AlArabiya_Eng', 'vine', 'TheRealJFOD', 'AbbyFeldman', 'instagram', 'WatchingSean', 'TabethaWatching', 'TyrelWatching', 'WatchingHawks', 'anyaparampil', 'RT_sputnik', 'RonPaul', 'GovJVentura', 'LionelMedia', 'Newseum', 'SputnikNewsUS', 'IntheNow_tweet', 'kungfufil', 'pzf', 'Breaking911', 'RT_Deutsch', 'Nicolaj_Gericke', 'nsweet34', 'LeeCamp', 'Thom_Hartmann', 'AmeeraDavid', 'LindsayFrance', 'TerrierTerp', 'Yaro_RT', 'SamSacks', 'BreakingTheSet', 'RedactedTonight', 'afshinrattansi', 'ManilaChan', 'RuptlyStringer', 'BenSwann_', 'RPCoalition', 'RevJJackson', 'harryfear', 'PTSantilli', 'UriLF', 'ReporterClaudia', 'Ruptly', 'NTASAlerts', 'France24_en', 'firstlookmedia', 'TwitchyTeam', 'bylukemalone', 'trevortimm', 'HBurke02', 'CapitolCityProj', 'bartongellman', 'JesselynRadack', 'torproject', 'Thomas_Drake1', 'ioerror', 'POLITICOMag', 'LasVegasSun', 'RepresentDotUs', 'JoshuaDavisNow', 'The305MVP', 'jonfitchdotnet', 'joepompeo', 'johncusack', 'Manuel_Rapalo', 'justinamash', 'lmoliva_', 'AnonyOps', 'erinade', 'Meghan_Lopez', 'PerianneDC', 'abc3340', 'LOLGOP', 'changebrazil1', 'tabletmag', 'juliaioffe', 'lauraryan23', 'VICE', 'kingsthings', 'OraTV']
3	AmedeoTarnaucea	['bbclysedoucet', 'stirieuropafm', 'psiho_muzical', 'Tina49747372', 'FRANCE24', 'CTVNationalNews', 'SandieR_ctv', 'lindayueh', 'Alphabetsouphoe', 'globeandmail', 'AnaIvanovic', 'Danfrmbourque', 'Goingtobelka', 'WorkHardDaily01', 'mullinsalejand1', 'FXS_Finance_RO', 'geniebouchard', 'monde_libre', 'meyer_mp', 'MarineElysee', 'stephenharper', 'LisaLaFlammeCTV', 'POTUS', 'BBCRosAtkins', 'BBCYaldaHakim', 'CTV_Television', 'BowenBBC', 'BBCJonSopel', 'EvanHD', 'Sarah_Montague', 'bbcdavideades', 'afpfr', 'TerilynJoe', 'France24_fr', 'alinagorghiu', 'SallyBundockBBC', 'DFriesenGlobal', 'uzyzmarry08', 'khanzeb348', 'dcyf_reform', 'amedeorazvantar', 'AncaNatya1', 'LucyHockingsBBC', 'alllibertynews', 'RinconCelebNews', 'Slatefr', 'MishalHusainBBC', 'BabitaBBC', 'ioana87yo', 'Liga1_Romania', 'bbcbaxter', 'NidhyaPal', 'bradut', 'Adevarul', 'StirileProTV', 'RFI_Romania', 'romanialibera', 'RomaOmaha', 'devizitat', 'Actualitati', 'FA', 'England', 'FIFAWorldCup', 'FIFAcom', 'UEFAcom', 'EuropaLeague', 'ChampionsLeague', 'premierleague', 'BBCSport', 'RRAEnglish', 'antena3romania', 'radu_toma', 'intactnews_ro', 'AdelinaRompost', 'BogdanAurescu', 'nadiacomaneci10', 'Simona_Halep', 'nytimes', 'nanu2215', 'cnnbrk', 'CNN', 'imarinescu2002', 'taylorswift13', 'sorin_nuta', 'antena3', 'KattyKayBBC', 'CTVNews', 'Etomiuc', 'julijovi', 'VioricaLungu', 'SimplySFans', 'France3tv', 'RFI', 'realitatea', 'TV5MONDE', 'breakingn', 'badeamircea', 'mircea_badea', 'CBCVancouver', 'Forbes', 'guardiantech', 'BBCBreaking', 'CityofVancouver', 'TheEconomist', 'Reuters', 'ForbesTech', 'TransLink', 'WSJ', 'JustinTrudeau', 'AP', 'cnntech', 'TIME', 'BBCWorld']
4	naicker_ranjin	['TwitterSA', 'mbalimcdust', 'OximityRacism', 'micahardware', 'CaitlinS1234', 'MSFTCityNext', 'jobvinesa', 'UlrichJvV', 'Sync_models', 'MTNBusinessZA', 'theesheryl', 'ScottPans', 'sammiesam2110', 'Lean3JvV', 'CNNSitRoom', 'gulnarasergeev1', 'witterwaffle', 'darrynholm13', 'fatimamikhaylo2', 'EFFSouthAfrica', 'AdvDali_Mpofu', 'StateDept', 'TheDemocrats', 'MboweniTito', 'justicefactor', 'HouseDemocrats', 'BantuHolomisa', 'justicemalala', 'Gawiesnr', 'POTUS', 'JHBWater', 'PigSpotter', 'MandyWiener', 'CNN', 'NelsonMandela', 'MmusiMaimane', 'CityPowerJhb', 'ABC', 'MbalulaFikile', 'PresidencyZA', 'BBCWorld', 'SowetanLIVE', 'WhiteHouse', 'brucebusiness', 'SenSanders', 'Julius_S_Malema', 'HillaryClinton', 'BarackObama', '702JohnRobbie', 'barrybateman', 'BernieSanders', 'Our_DA', 'eNCA', 'GarethCliff', 'helenzille', 'geoffreyyork', 'TheEconomist', 'ThuliMadonsela3', 'narendramodi', 'AkiAnastasiou', 'richardbranson', 'realDonaldTrump', 'cnnbrk', 'RailaOdinga', 'TimesLIVE', 'mailandguardian', 'Jay_Naidoo', 'News24', 'NatGeo', 'JohnKerry', 'MBuhari', 'HuffingtonPost', 'CityofJoburgZA', 'City_Press']
