	Id	friends
0	RETTinol	['DanielGoddard', 'frank0957', 'ANA4PEACE2016', 'Jeannehaspride', 'RoseTay87', 'llewis102812', 'tomor_raw', 'RotenHilary', 'Kilgore_Trout2', 'topamericannews', 'damnalo', 'DAILY_AMERICAN', 'Tgmontana2', 'kenivan', 'EvelynWhiteGOP', 'GmanFan44', 'NoNeverTrumpers', 'NeilreedNeil', 'Carballeira', 'Brute_Bradford', 'ProudUSAer', 'Jolitico', 'vman11111', 'PatrickArnold6', 'paphotog', 'G6throughF5', 'skjultster', 'janafelixt', 'npnikk', 'Politic_KV', 'TweetMeRight66', 'TheOneLadyEagle', 'transition2017', 'RightPalmetto', 'anhuocgithomas1', 'naynay010167', 'dhotle', 'JohnMcC45923913', 'AMMM7272', 'RubberBlon2', 'Patriot_Drew', 'Trumpertarian', 'taxcalgary', 'SizeOver60', 'ltowsonhester', 'POTUSelect45', 'robertbobby777', 'LizMosby', 'TrumpOceanCity', 'Kathysmith2015', 'JamesMZ54', 'Sinelari', '_rockrockwell_', 'InChargeable1', 'JerseyGirlD2', 'mrjonsong', 'js_heck', 'ResearchRatCT', 'DepIorabIes', 'BillboTex', 'RoRoscoe', 'DylanHBroady', 'DawnKimberdh', 'SMCAmom', 'DETeale2', 'ByeByeObama1', 'Lctrcny', 'GerardRouth', 'GetThemOutaHere', 'nekoda', 'DoeDaddy1', 'mitchellvii', 'MyInfo57386307', 'graca5683', 'bowhunter_va', 'Ladyphoenix1973', 'BlkHat', 'americashawk', 'fotophilNC', 'dawn_pepe', 'emamarco1', 'candylewis8', 'MacDaddy611', 'BaseballHustler', 'shelliecorreia', 'AMike4761', 'Daedalus_Parrot', 'FrankieRusso1', 'TeamTrumpTeX', 'teddy_chazz', 'txexss', 'Will_C99', 'StoptheBullUSA', 'WynnBelia', 'juanita00012', 'wpblessinginmd', 'Tbuckeye72', 'MarilynHobson2', 'TheTrumpArmy', 'Marguer97475571', 'TrumpPersonal', 'AnonymousRednek', 'DoubletakeJesse', '1776BetsyRoss', 'coucouwalla2', 'Angelmdunn1961', 'BillFrederick8', 'Cindermom', 'ACommonSenseWay', 'susie_turcotte', 'Buddy_Cooley', 'StevenBoone2007', 'ZeroForGiven', 'ExposeCorrupt1', 'iGOPguy', 'davewilkins12', 'mcjpizzle', 'rudeger11', 'BartMcCoy5', 'MrHinNH', 'LadyLibertyWDC', 'RagfxdliSr', 'MrsHinNH', 'InTheElections', 'jovanclordim', 'revelation16_15', 'LynniMegginson', 'AndrewKleopa', 'Eds1world', 'Gero_Lou', 'VeteransTake', 'j_smith_7', 'ReportedNot', 'tld5678', 'orbeaorca01', 'Robbo1992x', 'pg_rant', 'croswell_g', 'caschank', 'DeplorableYes', 'rnaia', 'JessieJaneDuff', 'trumpservative', 'floyd_patrick', 'graackW', 'deedyouknowthat', 'Nonya1968', 'MJsLady68', 'fleurdecascadia', 'Josephvss', 'DontBeAStatist', 'Bellanieve', 'Coin_Gracie', 'Tucsonmike520', 'JohnTrumpFanKJV', 'jasonrarthur', 'KevBo_Slice', 'BelindaBee13', 'AcChenard', 'Filledwithhope5', 'BK4TrumpUSA', 'ChrisHBCa', 'LauraBejerano', 'ryandirkvanhofw', 'ChiaMiller', 'shannonsbeau', 'ambroseanna1', 'PacifiLink', 'bibifl59', 'AZChinese4Trump', 'elianselmi', 'uniqueprophet', 'drou_bre', 'TimTerlato', 'chighbe', 'girdiesue', 'deplorableseb', 'JebSanford', 'Markthedford1', 'Gretchenlaraby', 'toddwhaines', 'SinclaireMaggie', 'conservative132', 'incognito1570', 'dunk99', 'DeeDeeStolhand', 'adagioforstring', 'DeplorableInATX', 'nwmilitiasniper', 'lin_slone', 'aias96', 'AgentSergeevna', 'TheRightGirl585', 'TruthSeeker____', 'NewHampshire007', 'Politicalcseeuu', 'DemonisMedia', 'JaneForbis', 'SharonKP2013', 'tltiger26']
1	smg930	['activestills', 'mike_pence', 'TrueIslamUSA', 'IPNOTGlobal', 'SenSanders', 'MiddleEastEyeFr', 'MiddleEastEye', 'amossmi', 'spaciousfaith', 'kamelhawwash', 'Palkomitee', 'vic2pal', 'stefaniafoddis1', 'democracynow', 'JohnFea1', 'palinfoen', 'Baz4peace', 'RosmeWarda', 'MiddleEastMnt', 'Joannetown1', 'KjerstiMarieG', 'ShiptoGazaSE', 'GazaFFlotilla', 'saidshouib', 'malligert', 'Reuters', 'MuftahOrg', 'BenjaminLCorey', 'Alma_Ruth', 'hindestreet', 'AbbyMartin', 'Vetipie', 'jeremycorbyn', 'NajYash', 'IsraeliPM', 'espn', 'Kaepernick7', 'YouTube', 'Franklin_Graham', 'RamzyBaroud', 'AliAbunimah', 'TheCanarySays', 'CubaMac24', 'assama3232', 'intifada', 'santafeez', 'BenjaminNorton', 'srgtarab', 'Robert_Martin72', 'Ramdog1980', 'thehill', 'VanityFair', 'shanti_sai', 'SNafal', 'BilalAlHabashi', 'ShaneClaiborne', 'girard_glenn', 'HelenaKasp', 'GuidoFawkes', 'GolanMay', 'PamInProgress', 'CathyHutton1', 'zombeck', 'RockCreek', 'tellezcherrez', 'wordpressdotcom', 'SusieLubell', 'porbem', 'Salon', 'TheMeetingHouse', 'Bruxy', 'menno_simons', 'ABC', 'washingtonpost', 'AJUpFront', 'DrJillStein', 'Hariri_1987', 'NYGovCuomo', 'rojek111', 'SumHanna1', 'hasenourlv', 'TheNatWorld', 'ABC30', 'BernieSanders', 'SenWarren', 'jeremyrhammond', 'childofeternity', 'ringoffireradio', 'jordantimes', 'cypressfey', 'swilkinsonbc', 'elizabethforma', 'carltonwilliams', 'MariaAl57952952', 'Slate', 'sparklejoperez', 'jewsdecolonize', 'BrianZahnd', 'WAHEED_SR', 'MennoPJSN', 'EAPPI', 'KellyJamesClark', 'Bettie_Kneifel', 'zaed_hussain', 'Razan_Palestine', 'APEN_designs', 'jvplive', '_drewki', 'Forbes', 'Hass_Haaretz', 'levy_haaretz', 'carlitoselgato', 'towny111', '972mag', '7W1773RCyclone', 'eligerzon', 'AliceRothchild', 'NewObOnline', 'chalkface2009', 'basemn63', 'lettywho1', 'TheIRD', 'IDFSpokesperson', 'wearelifted', 'JVPBoston', 'mikta', 'GarySpedding', 'Zochrot', 'Mimi1Wright', 'BDSFail', 'FrGabNaddaf', 'PalsJustice', 'saladinahmed', 'TheGathering777', 'raja_ruauw', 'DriveJustice', 'imemcnews', 'DevinNunes', 'SenFeinstein', 'JustinTrudeau', 'ShareThis', 'thehealingsquad', 'KathlynGadd', 'karenmurray1964', 'FriendsofAlAqsa', 'LondonPalestine', 'ChristAtCheckpt', 'MuntherIsaac', 'jamesmichael7', 'LiberalLakewood', 'DaysofPalestine', 'pichitovar901', '9vCDzXpD8z0RSsf', 'rEtyRX6I7KLdx7r', 'mccwashington', 'ISMPalestine', 'jpatrickvaughn', 'brianmclaren', 'themiamivoice', 'Ruthanasia', 'mideastrising', 'davidsheen', 'dancohen3000', 'BtSIsrael', 'juno_tobin', 'stroutcw', 'NathanHamm', 'btselem', 'yellowflower2', 'donisaak', 'rico_hands', 'carmenlopezmar7', 'DrGilbert', 'POTUS', 'MennoWorld', 'mccorg', 'garlic_pickle', 'LaryciaHawkins', 'Rulaborelli', 'conorc1', 'briansmccarthy', 'tyronerebel1916', 'allipalli', 'nadeemrvk', 'hutton647', 'pamelasweeten', 'shinnphoto', 'AzmiBishara', 'US_Campaign', 'MaxBlumenthal', 'benabyad', 'KurtWillems', 'Mondoweiss', 'mikopeled', 'mikopeled12', 'StephenAtHome']
2	sbutterfields	['kaarkon', 'The_NewRight', 'RichardTBurnett', 'SaveLiberty1st', 'The_Trump_Train', 'MikeHimsworth', 'Patriotic_Me', 'lorischovanec', 'gdshaver16', 'Bikers4Trump', 'NIS_2016', 'paulbenedict7', 'movement_trump', 'king_sparc', 'tscottjenkins', 'AnnaC_Carter', 'ALEXANJK', 'HKConservative', 'paterjohn75', 'charlie4047', 'rninfl', 'Mike_Beacham', 'JohnNew2015', 'DeSantis4House', 'Ryan_Harkness12', 'MuncTomm', 'MisterSidFein', 'MaryFreakingMcD', 'NFLNow', 'grahamPmartin', 'MajorCrimesTNT', 'KearranGiovanni', 'RealTonyDenison', 'MaryMcDonnell10', 'FoxNews', 'USATODAY', 'NFL']
3	buell003	['livviento', 'nafeezi', 'Fatushow', 'A11_Seeing_Eye', 'THCvillain', 'KreaseChan', 'NachoReyM', 'daquigles', 'endcomputed', 'sarabennet96', 'mikeerickson', 'YoureInTheKNOW', 'UnadikumCat', 'RESCOP1', 'proucomplicitat', 'ysocialmediaca', 'Catherine_Riche', 'OWS_ellie', 'Kmeeks1027Kathy', 'HuijsmansTim', 'NiteSteppin', 'AnneMarieFlynn2', 'beckycarroll7', 'F_Atacama', 'AnonStrikeBack', 'canallasforever', 'CATWLACDIR', 'jackhidary', 'carsonfosters', 'abrahama999', 'professorali', 'SamInspired', 'normansolomon', 'Googirlsmiles', 'DaveStarDancer', 'VilchesLaura', 'justin_fenton', 'elenaakelly', 'morphsintowomen', '_mazak', 'LivingOnChi', 'damn_antihero', 'TweetingYarnie', 'Blissmare', 'kwang5andy', 'vautrain', 'GVastop', 'cosmerias', 'BlancaParraIEPC', 'joepj07', 'AdkJessiArcher', 'ShannonErinTay1', 'ChiefSnowCubb', 'swss555', 'Laurissia_J', 'AngeicaNewsom', 'WakeAndBacon420', 'AndyRose12', 'ChaseIronEyes', 'tbelfield2', 'stlwrkr4889', '1nation1vote', 'piccolari', 'antonkitty', 'Hetq_Trace', 'DjFamebaby', 'kellyblaus', 'kthoughtworker', 'HeidiStea', 'BauerJournalism', 'heathermsilvey', 'ClearedDirect2', 'koehlerart', 'newint_au', 'KAYbeginskiss', 'HeckPhilly', 'msimmons444', 'MahpiyaWaciWin', 'perfecthannah', 'Heather28df', 'teacuplissy', 'opengovau', 'saratrula', 'Byline_Media', 'MrTopple', 'ClaireyBeeS', 'BaqeerG', 'a1MkR', 'quinncy', 'Honeputu', 'KatieBreenNL', 'AleAlarconRmz', 'jpat1eco', 'B_K_G_88', 'lynn0p', 'countingthetoll', 'standingstones', 'DandelionGrrl', 'my_marginalia', 'tylerestuart', 'strangeinkling', 'noreallyhowcome', 'DeDuDal', 'KahnKhadijah', '420Support', 'pedroraul_lopez', 'TobieHeim', 'weeshawnaMarie', 'TheHackerBOT', 'myrabatchelder', 'NLGLA', 'Tinam1217', 'brandycjudkins', 'Elenilinda11', 'ethicistforhire', 'AlleenBrown', 'AmyJChristie2', 'anonbene', 'JamaicaGleaner', 'CareenSmall', 'Tierney_Megan', 'EmmaVigeland', 'SyriaDirect', 'free_taheri', 'morgana_alybaba', 'RealDemocracy16', 'RichardOSeager', 'AnairamVega', 'Xultar', 'LouiseEdington', 'shadarl', 'joshfoxfilm', 'StarSparkle_UK', 'PascoRevolution', 'eresnickday', 'UgenesPolitics', 'AntifaDFW', 'andresreportero', 'Uniocracy', 'WarWomensRights', 'JVPDCMetro', 'peterjaques04', 'PLODelegationUS', 'empresasmicros1', 'kenradio', 'RaoMIbrahim1', 'HonorTheEarth', 'jahboogiemusic', 'Anon_Universal', 'LobeLog', 'PaolaSole1971', 'phoenixsrainbow', 'reclaimthepower', 'OccupyDemocracy', 'spokenwordnerd', 'rlavin10', 'Castiglione_S', 'ChristianBook6', 'ThePlorables', 'RealJamesWoods', 'RobertaLavin', 'RoqPlanas', 'emgfind', 'jchernandezjazz', 'Smith_JeffreyT', 'AndreaChalupa', 'lunacla74', 'NationalNurses', 'MsEddieD', 'CaseycVT', 'defensorxs', 'PalestineExists', 'RoseAnnDeMoro', 'Claire_Phipps', 'DeSmogCanada', 'LatPoliticalAve', 'MissAnonFatale', 'AnarchyWaltz', 'AFilan', 'Raffles_Lara', 'viole0204', 'viole_pa', 'DarrenCasteel', 'billrosethorn', 'gwenrocco', 'OURConferenceNY', 'SilERabbit', 'Jenan_a_Taha', 'SaveMain_St', 'theRza2u', 'DeSmogBlog', 'OccupyRhetoric', 'SanDiegoPride', 'SharadKage2', 'SharonEastmanRE', 'StephPiddock', 'REDBVRON', 'Bloomgarden45', 'htaguchi63', 'WilliamUnder2']
4	nennooshananenn	['Beverly_Hayes', 'IWV', 'acidrebel', 'SandyWarf', 'MCCNP', 'NewssTrump', 'JessieG_Music', 'LouveniaLoesch4', 'ZettelMarvella', 'MelissaGuenette', 'danica_yerbich2', 'sosarika', 'carrolltrust', 'TrumpTheHill', 'annazcoo', 'FXS_Finance_HE', 'Angel_Angela3', 'hwl1974', 'KatieOHalloran', 'legecymusic', 'MelBchREALTOR', 'yale_ygraf', 'seafarer1847', 'NetworksManager', 'FNDPennyStocks', 'DylanHBroady', 'Miami4Trump', 'Emerald_Zangara', 'steingal2', 'baristabar', 'TheDonaIdJTrump', 'LVNancy', 'trumpsterMG', 'AppSame', 'JVER1', 'CorradoSalucci', 'andrejpwalker', 'Avraham5772', 'HendrixComplex', 'HomunculusLoikm', 'DonaldTrumpVote', 'MerrizJosephine', 'rninfl', 'Thomas1774Paine', 'OldGlory007', 'RonaldPlatek', 'Blacks4DTrump', 'rightnpr', 'blairanton', 'KeenaReagan', 'TheGOPReport', 'Alfred_Lapin', 'Trump_Videos', 'JohnKStahlUSA', 'EvilEsq', 'PlanetFreeWill', 'Matt_VanDyke', '1_American_Girl', 'hiiamcody', 'CannibalMag', 'StopStopHillary', 'QueenCharlotteO', 'edwrather', 'Jarboni72', 'TRUMP4THEOVAL', 'TrumpPOTUS45', 'DaysOfTrump', 'RealTrumpDoc', '19PHIL51', 'TrumpFanApparel', 'ThisIsWhyTrump', 'trebortwo', 'JohnBladeClark', 'Portosj81J', 'TIMENOUT', 'trump2021', 'AlbionAwakes', 'Sheep2Wolves', 'patriotshirts16', 'FClintoneous', 'USAforTrump2016', 'Future_of_West', 'khan_hekmat', 'TheDonaldNews', 'healthandcents', 'israelwithtrump', 'Trump_ego2016', 'Carl1Jimenez', 'DRJAMESCABOT', 'ferrer_bonie', 'AlexiusVox', 'mini_wiki', 'TheTrumpKid', 'EndorsementsGOP', 'Ryan__Hyman', 'VanBradeen', 'MStuart1970', 'TheLoudMajority', 'WikiFleekMemes', 'Gianluca_1970', 'TheNewMoneyShow', 'garyibe007', 'bravehart60', 'freedomsaver1', 'Mansstory2', 'CruzSexScandal', 'willbarrett_1', 'KimHarm63660098', 'TheFoundingSon', 'MarkHan51936499', 'AmberGirl3', 'Italians4Trump', 'myolio', 'TIMDUKE1959', 'dutyofyou', 'CalvinW57', 'AMTrump4PRES', 'TeamTrumpAZ', 'PigeonToday', 'katecarlson1226', 'steve0423', 'samdarealst', 'realJasonTor', 'dharris1542', 'JayS2629', 'EdmondScofield', 'TEN_GOP', 'cyvault', 'inyourface34', 'mitchellvii', 'KatrinaPierson', 'PorkShake', 'immigrant4trump', 'Team_Trump45', 'DanScavino', 'RinoRooter', '_Proud_American', 'LainieYennie', 'VivaLaAmes', 'risetoflyy', 'DonaldJTrumpJr', 'SouthLoneStar', 'ASatyanarayanan', 'BMOC98', 'Aprophet5', 'AnnCoulter', 'Patriot_Drew', 'EricTrump', 'FrenchForTrump', 'RussCovert1', 'Don_Vito_08', 'Wes_St_Clair', 'PresTrumpNation', 'ReRe_76804', 'jerilynw728', 'MADE__USA', 'MiceeMouse', 'garydailydrift', 'NMPRadio', 'pboshell123', 'WhoIsMikeGalt', 'SenatorSessions', 'money_sports1', 'america_trump', 'doougie1957', 'JohnNWalters413', 'karlak916', 'ed_hooley', 'Queen4ever7', 'RichardTBurnett', 'jjmfry', 'sadiehawke1108', 'Dbargen', 'TRUMP_PREZ', 'TimBrafford', 'ccbccb43', 'MrVeritas', 'USPatriot4Trump', 'America_1st_', 'KamVTV', 'OliviaJKing3', 'SpecialKMB1969', 'trump4_prez2k16', 'lirainc_laureta', 'redlanews', 'trumpwallnow', 'TacticKohl', 'yankeegirlusa', 'customwww', 'ViVAtrio', 'LeahRBoss', 'Lrihendry', 'jbierm292', 'DroneOn1', 'cristinalaila1', 'robertbobby777', 'BigStick2013', 'MeosoFunny', 'los001979', 'RGeaux']
